name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria
Ca'n Joan de s'Aigo,39.56993,2.6526434,4.6,7161.0,"['bakery', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",bakery,"Carrer de Can Sanç, 10, Palma",Comida
PaneNostro,39.571424,2.6548109,4.6,168.0,"['bakery', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",bakery,"Plaça Nova de la Ferreria, 6, Palma",Comida
La Hogaza,39.570548,2.655937999999999,4.6,209.0,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']",bakery,"Carrer del Socors, 50, Palma",Comida
Lluís Perez Pastisser,39.5736741,2.6453147,4.6,583.0,"['bakery', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",bakery,"Carrer de Bonaire, 14, Palma",Comida
Mise en Place,39.5674151,2.6596871,4.1,280.0,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",bakery,"Carrer Miquel Santandreu, 16, Palma",Comida
Rosevelvet,39.5775423,2.6503454,4.4,1149.0,"['bakery', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",bakery,"Carrer de Font i Monteros, 22, Palma",Comida
MDQ,39.5784368,2.646229,3.5,719.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer Carles I, 8, Palma",Comida
Gelats Paco Blanquerna,39.5788972,2.6507891,4.2,536.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer de Blanquerna, 10, Palma",Comida
Forn Ca sa Camena,39.5716709,2.6378841,4.5,108.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer d'Anníbal, 22, Palma",Comida
thomas bakeshop boutique,39.57170199999999,2.637629,4.8,176.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer d'Anníbal, 24, Palma",Comida
Squarcia La Exquisiteria,39.579831,2.653082,3.9,57.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer de Julià Alvarez, 9, bajos, Palma",Comida
Forn de pa i pastisseria Mestre,39.5754955,2.638640699999999,4.3,22.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer de Desbach, 4, Palma",Comida
Tudurí Pastisseria i Cafè,39.58113539999999,2.6492145,4.2,1715.0,"['cafe', 'bakery', 'bar', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"07003, Carrer de Blanquerna, 42, Palma",Comida
Angelo Paletta Panaderia y Pasteleria Mallorca,39.5817142,2.6536548,4.4,312.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer de Rosselló i Cazador, 17, Palma",Comida
Forn La Mallorquina,39.5739425,2.6339961,4.3,24.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer de Joan Crespí, 18, Palma",Comida
Panadería Pastelería San Bartolomé,39.5824279,2.637651,4.5,195.0,"['bakery', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",bakery,"Carrer de Francesc Martí i Móra, 35, Palma",Comida
Naturalment,39.57065789999999,2.6511136,1.0,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",meal_takeaway,"Carrer de Colom, 15, Palma",Comida
"Telepizza Palma de Mallorca, La Riera - Comida a domicilio",39.5822245,2.6449134,3.1,432.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer d'Anselm Turmeda, 7, Bajo 2, Palma",Comida
Palma Pollo I Restaurante,39.5766642,2.6420779,4.1,494.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer Rafael Rodríguez Méndez, 7, Palma",Comida
Chino Hola,39.5815243,2.651365999999999,3.4,159.0,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer del Pare Bartomeu Pou, 12, Palma",Comida
"La Mafia de la Pizza Nostra, Pizzeria a Domicilio en Palma",39.58476299999999,2.657361,4.3,296.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de l'Arxiduc Lluís Salvador, 89, Palma",Comida
"Galactic Club - Palma, Illes Balears",39.57313569999999,2.6398339,4.7,254.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de Murillo, 9, Palma",Comida
Pasta Cuore S.L.,39.56999799999999,2.6507456,,,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",meal_takeaway,"Carrer de Colom, 8, Palma",Comida
Rapha Mallorca,39.5694457,2.6483433,4.5,806.0,"['cafe', 'meal_takeaway', 'clothing_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",meal_takeaway,"Plaça del Rosari, 1, Palma",Comida
La Fornarina,39.57461079999999,2.6534785,3.4,201.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer dels Caputxins, 4, Palma",Comida
Llaollao Olmos,39.575163,2.651626,4.2,440.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",meal_takeaway,"Carrer dels Oms, 7, Palma",Comida
Domino's Pizza,39.56986,2.65756,3.6,1976.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Avinguda de Gabriel Alomar, 11, Palma",Comida
Vegan and Raw,39.5755728,2.6486527,4.2,186.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Plaça del Bisbe Berenguer de Palou, nº2, Bajos, Palma",Comida
McDonald's,39.5728666,2.6574289,3.4,2251.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer Nuredduna, 1, Bajos, Palma",Comida
Palma Pollo II,39.567533,2.659993,4.4,342.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de Joan Alcover, 45, Palma",Comida
Jaipur Tandoori - Indian Restaurant Palma,39.5720445,2.639691500000001,4.7,2436.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de la Fàbrica, 5, Palma",Comida
Sushi Chet,39.57256019999999,2.6622641,4.3,178.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de Lluís Martí, 45, Palma",Comida
Mister hot dog,39.5779085,2.6428904,4.6,245.0,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de Goethe, 14, Palma",Comida
Il carpaccio Pizzeria Italiana,39.569454,2.663520999999999,3.7,269.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer General Ricardo Ortega, 49, Palma",Comida
VA DE BO pianobiobar,39.5773754,2.6403773,4.5,209.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de Valldargent, 1, Palma",Comida
Restaurante y comidas para llevar Tastau,39.57983779999999,2.659153299999999,3.7,711.0,"['restaurant', 'cafe', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"Carrer de Jaume Balmes, 33, Palma",Comida
"""Asador-Parrilla Para Llevar "" Pollos Top",39.5791131,2.6632639,4.2,358.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer Aragó, 79, Palma",Comida
Pizzeria Bellver,39.57273919999999,2.6314944,4.1,36.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"Carrer de Bartomeu Rosselló-Porcel, 2, Bajos 2, Palma",Comida
