name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria,place_id,distance_km
Es Badulake,39.56999399999999,2.6472243,4.9,166.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de les Minyones, 2, Palma",Comida,PLACE_48,0.2419178690387201
Arabay Flagship Store Palma,39.5710613,2.6525526,4.4,1060.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer del Sindicat, 5, Palma",Comida,PLACE_49,0.2725310638718718
Al Punt - Restaurant Palma,39.5734478,2.6492477,4.2,629.0,"['cafe', 'meal_takeaway', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de Santa Magdalena, 1, Palma",Comida,PLACE_50,0.4326875000188872
MELL34 Cafetería / Panadería,39.5682452,2.656048,4.8,212.0,"['cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de Mateu Enric Lladó, 34B, LOCAL C, Palma",Comida,PLACE_51,0.5398529962285615
Cafè Can Martí,39.5709156,2.6438803,4.2,489.0,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de Can Sales, 7, Palma",Comida,PLACE_52,0.5445605660426445
Cafè Canamunt,39.573017,2.654934,4.8,273.0,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de la Volta de la Mercè, 9, Palma",Comida,PLACE_53,0.56851911175963
Glop´s,39.5732943,2.6452375,4.4,438.0,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de Bonaire, 10, Palma",Comida,PLACE_54,0.5791184358060165
Fibonacci Bonaire,39.5734473,2.6452429,3.7,73.0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de Bonaire, 10, Palma",Comida,PLACE_55,0.5909880542253203
Lluís Perez Pastisser,39.5736741,2.6453147,4.6,578.0,"['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer de Bonaire, 14, Palma",Comida,PLACE_56,0.6053916144120157
La Molienda Bisbe,39.575,2.6458333,4.3,1798.0,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer del Bisbe Campins, 11, Palma",Comida,PLACE_57,0.6986328518536125
1962 Café & Gastrobar,39.5718967,2.6422656,4.3,298.0,"['bar', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",Cafe,"Passeig de Mallorca, 6, Palma",Comida,PLACE_58,0.7104299729353999
"Sport bar Cafetería, Apuestas Deportivas, Local de Juego - Punt de Joc (Es Jardí)",39.569819,2.658752,4.1,347.0,"['cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer General Ricardo Ortega, 12, Palma",Comida,PLACE_59,0.7505695181012683
La Madeleine de Proust Santa Catalina,39.571281,2.638807,4.0,281.0,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer d'Anníbal, 17, Palma",Comida,PLACE_60,0.977432747879276
Tartas Can Pinyol,39.5833756,2.6373252,4.0,90.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer de Francesc Martí i Móra, 58, Palma",Comida,PLACE_61,1.8778734057909068
Panadería San Rafael S L,39.573553,2.6721756,4.4,69.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer Sant Rafael, 39, Palma",Comida,PLACE_62,1.950884780354874
Pastisseria Ca Na Cati,39.57854179999999,2.6638152,4.0,1455.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer Josep Darder, 5, Palma",Comida,PLACE_63,1.5461784430646222
Panaderia S'Estació,39.5721055,2.6553879,4.5,1959.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer del Sindicat, 66, Palma",Comida,PLACE_64,0.5393419104655702
Pastisseria Real,39.5752956,2.669221,4.7,249.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer Reis Catòlics, 79, Palma",Comida,PLACE_65,1.7649948371022035
Dulceliaco,39.5730374,2.6323965,4.7,92.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Bakery,"Carrer d'Avinyó, 13, Palma",Comida,PLACE_66,1.5565019840204843
