name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria,place_id,distance_km
Árbol singular,39.5697159,2.649874,5.0,1.0,"['park', 'point_of_interest', 'establishment']",Park,"Plaça de Cort, Palma",Atracción,PLACE_236,0.016814533611690247
Plaza de la Pescateria,39.5699299,2.6504741,4.8,4.0,"['park', 'point_of_interest', 'establishment']",Park,"Plaça de la Pescateria, 1, Palma",Atracción,PLACE_237,0.054745276940754616
meet point,39.5690105,2.650803499999999,4.0,2.0,"['park', 'point_of_interest', 'establishment']",Park,"Plaça de Santa Eulàlia, 5, Palma",Atracción,PLACE_238,0.09507939490524671
Plaça de Santa Eulàlia,39.5687505,2.6507065,4.2,12.0,"['park', 'point_of_interest', 'establishment']",Park,"Plaça de Santa Eulàlia, 6, Palma",Atracción,PLACE_239,0.11220499783286354
Jardí de la Seu,39.56862059999999,2.647886499999999,4.8,21.0,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_240,0.2113738032209458
Jardí del Bisbe,39.5676072,2.6497479,4.1,283.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",Park,"Carrer de Sant Pere Nolasc, 6, Palma",Atracción,PLACE_241,0.22264039292289597
latino,39.5720115,2.6510442,,,"['park', 'point_of_interest', 'establishment']",Park,"Plaça Major, 4, Palma",Atracción,PLACE_242,0.28268914330465705
Jardins de la Plaça de la Reina,39.5689323,2.6468005,4.7,533.0,"['park', 'point_of_interest', 'establishment']",Park,"Avinguda d'Antoni Maura, 2, Palma",Atracción,PLACE_243,0.28411792627257093
Patio De L'ancien hotel Isabel II,39.56676900000001,2.6505291,4.3,3.0,"['park', 'point_of_interest', 'establishment']",Park,"Carrer de la Portella, 7, Palma",Atracción,PLACE_244,0.3180430617955402
L'Hort del Rei,39.568073,2.646487,4.5,2360.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",Park,"Avinguda d'Antoni Maura, 18, Palma",Atracción,PLACE_245,0.34569210791366417
Plazoleta,39.5664266,2.6504939,4.0,1.0,"['park', 'point_of_interest', 'establishment']",Park,"Carrer de la Portella, 13, Palma",Atracción,PLACE_246,0.35539652997744525
Park,39.5729614,2.6522933,4.0,1.0,"['park', 'point_of_interest', 'establishment']",Park,"Carrer de Sant Miquel, 30, Palma",Atracción,PLACE_247,0.4223058571247088
Plaça de Santa Magdalena,39.5736077,2.6492282,5.0,2.0,"['park', 'point_of_interest', 'establishment']",Park,"Plaça de Santa Magdalena, Palma",Atracción,PLACE_248,0.45051919697072446
Parc de la Mar,39.5655231,2.6500923,4.6,2124.0,"['park', 'point_of_interest', 'establishment']",Park,Palma,Atracción,PLACE_249,0.45339963028046915
Parking Palma,39.5707624,2.6552515,5.0,3.0,"['park', 'point_of_interest', 'establishment']",Park,"Plaça de Raimundo Clar, 6, Palma",Atracción,PLACE_250,0.46831709394537213
Castell de Bellver,39.5638434,2.619423099999999,4.5,23384.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer Camilo José Cela, s/n, Palma",Atracción,PLACE_251,2.6980320577980015
Catedral-Basílica de Santa María de Mallorca,39.56742510000001,2.6482994,4.7,55697.0,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",Tourist attraction,"Plaça de la Seu, s/n, Palma",Atracción,PLACE_252,0.2823722505659221
Train Sóller Station (Palma de Mallorca),39.5766774,2.6538486,4.4,10967.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer d'Eusebi Estada, 1, Palma",Atracción,PLACE_253,0.8533078099902246
Museum of Mallorca,39.5672221,2.650730499999999,4.2,487.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de la Portella, 5, Palma",Atracción,PLACE_254,0.2717233787735146
Ca´n Palou de Coma-sema,39.5684431,2.6500637,3.0,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de Can Anglada, 2, Palma",Atracción,PLACE_255,0.1287572326362308
Can Amorós,39.5686353,2.650865,4.4,17.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer d'En Morei, 1, Palma",Atracción,PLACE_256,0.13039976491681496
Can Crespí (Can Ribera),39.5685046,2.6493739,5.0,1.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de Sant Roc, 1, Palma",Atracción,PLACE_257,0.13310160817571973
Ca'n March,39.5688315,2.6513735,4.8,6.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de Sant Francesc, 5, Palma",Atracción,PLACE_258,0.14547367318788257
Can Ferragut (Can Caulelles),39.5683329,2.6490891,,,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de l'Estudi General, 9, Palma",Atracción,PLACE_259,0.1610827292305062
Ca´n Ordines d´Almadrà,39.5682038,2.6505226,4.2,6.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer d'En Morei, 8, Palma",Atracción,PLACE_260,0.1615836123278954
Ca´n Llorenç Villalonga,39.5681086,2.6496963,4.7,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de l'Estudi General, 15, Palma",Atracción,PLACE_261,0.16786683380457004
Can Colom,39.56808189999999,2.6499399,4.7,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de Can Anglada, 4, Palma",Atracción,PLACE_262,0.16888360559650645
Can Alemany,39.56839289999999,2.6487328,3.8,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",Tourist attraction,"Carrer de l'Estudi General, 5, Palma",Atracción,PLACE_263,0.1726671340246938
